pop,month,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NVA,Apr,14.860725,15.45369,14.29869,15.126715,16.567925,14.650195,15.37979,14.76628,16.28977,14.333945,15.15206,15.156415,16.61353,16.516375,14.338645,15.0321,15.164355,14.956425,14.330805,17.826,12.67835
NVA,May,20.85585,19.02725,21.09535,18.9344,18.8477,18.73915,22.37885,17.76075,18.08145,18.97825,18.55665,20.2674,21.4517,19.94035,21.16045,18.3059,20.79235,20.69535,18.5004,19.20495,22.3175
NVA,Jun,25.57545,22.93525,24.8247,24.2315,24.67305,22.86745,23.97525,23.84535,23.1154,24.2841,26.46565,24.6191,26.989,25.35835,22.7089,24.13275,24.662,25.2334,23.48425,23.1626,24.47815
NVA,Jul,26.4888,26.93095,24.555,23.7249,26.54075,25.41095,26.0764,27.5399,26.07235,25.6505,26.1667,25.27765,27.5882,27.34835,27.6794,26.1695,25.26385,25.8669,26.8078,26.49385,25.15325
NVA,Aug,25.6292,25.8362,24.29205,25.17195,25.15425,25.64405,23.71065,26.4549,26.43325,27.99975,25.3861,26.2756,26.7341,25.3805,24.679,24.12575,23.92465,24.37285,26.5828,24.419,25.15865
NVA,Sep,23.40665,20.5103,20.82675,19.6387,22.53615,20.91765,21.80535,24.06605,20.8106,23.05955,22.4858,21.12795,23.9234,22.0617,20.6172,21.0099,21.91605,22.30545,23.48555,21.2206,24.1256
NVA,Oct,15.63933,14.599215,15.04166,14.26706,16.1489,14.77396,15.90835,16.377,14.837085,19.20845,14.53072,15.08286,16.344145,14.012645,14.823525,16.03115,16.485345,14.51638,16.53973,16.71176,15.79163
NVA,Nov,10.75052,12.326535,8.153085,12.575825,9.12052,13.056985,11.106195,10.93618,10.994985,10.16111,9.19369,11.39076,9.990365,11.32867,7.3185608,8.6333,7.2612945,11.922265,10.07509,8.880035,8.02515
NVA,Dec,7.87136,6.5186305,1.053685,7.95236,4.697695,4.681685,5.636279,3.988045,8.60363,8.729595,7.25323,4.356695,0.69594,7.67382,8.427585,7.172646,5.9591165,11.901215,5.4172545,4.510225,6.065856
NEW,Jan,3.8434145,0.07513,-1.026415,-0.508155,3.33268,-2.950149,-4.431239,-1.3037,3.649991,2.258,1.44885,-3.356402,-0.654415,-2.836055,1.95332,1.041185,-3.267935,-2.35985,0.06606,2.5086975,-1.246885
NEW,Feb,4.248736,2.46876,2.140185,1.492605,4.00895,-1.935525,0.797995,1.60061,1.21437,-2.66869,1.48678,1.60545,0.285775,0.889825,3.8149215,0.353695,-1.892955,-5.8894815,1.96282,4.470426,4.430232
NEW,Mar,6.58684,5.3911005,8.01825,3.869713,6.412395,5.565053,6.21888,3.3178,5.840616,4.856256,5.499964,4.9898107,8.32214,5.2344695,10.001675,4.11505425,2.232825,2.38101,8.640005,3.595905,3.915979
NEW,Apr,11.55354,11.038655,10.0936,11.340645,12.590105,9.578055,11.906055,12.273085,12.4486,9.47246,11.79999,11.64127,13.48668,12.0926,11.87392,11.06136,10.615565,11.344585,10.857675,13.503,8.845445
NEW,May,17.7159,16.6616,17.1292,17.20715,15.540865,14.70626,18.9273,14.86793,17.1465,17.94185,14.8987,16.64375,18.19035,17.86785,18.4784,16.59075,17.34095,19.50255,16.4022,15.9313,18.9666
NEW,Jun,20.55925,22.65185,21.7107,22.78615,21.90775,20.3564,21.6378,23.6654,21.8509,21.8879,22.9764,19.87565,23.1492,22.08055,21.48245,22.2104,22.0965,21.6305,21.739,22.15785,21.71405
NEW,Jul,24.50615,26.57865,22.3543,22.72205,25.7267,24.6954,23.60025,25.5878,25.71535,23.64065,25.04105,22.6467,26.23875,26.2627,25.84845,26.20065,24.3096,25.1607,25.57185,24.55165,25.2106
