pop,country,lat,photoperiod,DI,year
KHO,JP,37.37,12,0.785340314,2008
KHO,JP,37.37,12.5,0.810810811,2008
KHO,JP,37.37,12.75,0.689849624,2008
KHO,JP,37.37,13,0.782511211,2008
KHO,JP,37.37,13.25,0.6875,2008
KHO,JP,37.37,13.5,0.271565495,2008
KHO,JP,37.37,13.75,0.177725118,2008
KHO,JP,37.37,14,0.080701754,2008
KHO,JP,37.37,14.25,0.058181818,2008
KHO,JP,37.37,14.5,0.070336391,2008
KHO,JP,37.37,16,0.060790274,2008
SHI,JP,34.02,8,0.9038,2008
SHI,JP,34.02,12,0.851528384,2008
SHI,JP,34.02,12.5,0.8,2008
SHI,JP,34.02,12.75,0.606321839,2008
SHI,JP,34.02,13,0.560126582,2008
SHI,JP,34.02,13.25,0.273584906,2008
SHI,JP,34.02,13.5,0.334346505,2008
SHI,JP,34.02,13.75,0.270700637,2008
SHI,JP,34.02,14,0.076704545,2008
SHI,JP,34.02,14.25,0.029268293,2008
SHI,JP,34.02,14.5,0.016161616,2008
SHI,JP,34.02,16,0.038297872,2008
UTS,JP,36.53,8,0.9293,2008
UTS,JP,36.53,12,0.995680346,2008
UTS,JP,36.53,12.5,0.951282051,2008
UTS,JP,36.53,12.75,0.97979798,2008
UTS,JP,36.53,13,0.928,2008
UTS,JP,36.53,13.25,0.8,2008
UTS,JP,36.53,13.5,0.674884438,2008
UTS,JP,36.53,13.75,0.215767635,2008
UTS,JP,36.53,14,0.011337868,2008
UTS,JP,36.53,14.25,0.018641811,2008
UTS,JP,36.53,14.5,0.061068702,2008
UTS,JP,36.53,16,0.078078078,2008
AIZ,JP,37.47,8,0.9543,2008
AIZ,JP,37.47,12,0.951492537,2008
AIZ,JP,37.47,12.5,0.933562428,2008
AIZ,JP,37.47,12.75,0.957943925,2008
AIZ,JP,37.47,13,0.764705882,2008
AIZ,JP,37.47,13.25,0.661057692,2008
AIZ,JP,37.47,13.5,0.598853868,2008
AIZ,JP,37.47,13.75,0.735294118,2008
AIZ,JP,37.47,14,0.26097561,2008
AIZ,JP,37.47,14.25,0.145907473,2008
AIZ,JP,37.47,14.5,0.03236246,2008
AIZ,JP,37.47,16,0.025,2008
SAK,JP,38.92,8,0.9899,2008
SAK,JP,38.92,12,0.997690531,2008
SAK,JP,38.92,12.5,0.989761092,2008
SAK,JP,38.92,12.75,0.947994056,2008
SAK,JP,38.92,13,0.957692308,2008
SAK,JP,38.92,13.25,0.699570815,2008
SAK,JP,38.92,13.5,0.788961039,2008
SAK,JP,38.92,13.75,0.412429379,2008
SAK,JP,38.92,14,0.150278293,2008
SAK,JP,38.92,14.25,0.185,2008
SAK,JP,38.92,14.5,0.039647577,2008
SAK,JP,38.92,16,0.016901408,2008
TAN,JP,30.72,8,0.9611,2008
TAN,JP,30.72,12,0.81147541,2008
TAN,JP,30.72,12.5,0.621004566,2008
TAN,JP,30.72,12.75,0.416267943,2008
TAN,JP,30.72,13,0.235772358,2008
TAN,JP,30.72,13.25,0.13583815,2008
TAN,JP,30.72,13.5,0.068493151,2008
TAN,JP,30.72,13.75,0.051671733,2008
TAN,JP,30.72,14,0.062857143,2008
TAN,JP,30.72,14.25,0.029469548,2008
TAN,JP,30.72,14.5,0.011396011,2008
TAN,JP,30.72,16,0.008733624,2008
TOK,JP,35.63,8,0.9466,2008
TOK,JP,35.63,12,0.923943662,2008
TOK,JP,35.63,12.5,0.806835067,2008
TOK,JP,35.63,12.75,0.837606838,2008
TOK,JP,35.63,13,0.828042328,2008
TOK,JP,35.63,13.25,0.569767442,2008
TOK,JP,35.63,13.5,0.151960784,2008
TOK,JP,35.63,13.75,0.169724771,2008
TOK,JP,35.63,14,0.135135135,2008
TOK,JP,35.63,14.25,0.032490975,2008
TOK,JP,35.63,14.5,0.085501859,2008
TOK,JP,35.63,16,0.006349206,2008
OKI,JP,26.22,8,0.2606,2008
OKI,JP,26.22,12,0.243902439,2008
OKI,JP,26.22,12.5,0.201877934,2008
OKI,JP,26.22,12.75,0.256227758,2008
OKI,JP,26.22,13,0.063432836,2008
OKI,JP,26.22,13.25,0.037735849,2008
OKI,JP,26.22,13.5,0.017777778,2008
OKI,JP,26.22,13.75,0.10989011,2008
OKI,JP,26.22,14,0,2008
OKI,JP,26.22,14.25,0,2008
OKI,JP,26.22,14.5,0.061946903,2008
OKI,JP,26.22,16,0.00974026,2008
ZIO,US,33.75,8,0.9244,2008
ZIO,US,33.75,12,0.901234568,2008
ZIO,US,33.75,12.5,0.818181818,2008
ZIO,US,33.75,12.75,0.658469945,2008
ZIO,US,33.75,13,0.625,2008
ZIO,US,33.75,13.25,0.143222506,2008
ZIO,US,33.75,13.5,0.258426966,2008
ZIO,US,33.75,13.75,0.125816993,2008
ZIO,US,33.75,14,0.045180723,2008
ZIO,US,33.75,14.25,0.019047619,2008
ZIO,US,33.75,14.5,0.011267606,2008
ZIO,US,33.75,16,0.014864865,2008
