pop,month,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
YAT,Apr,13.2178,9.38039,8.16966,9.08498,10.9004,11.4019,9.47446,9.34835,8.88677,8.30198,8.90517,8.76791,8.49063,7.71483,9.67285,7.72676,9.0215,11.3949,11.5873,10.3089,11.0461
YAT,May,16.5941,13.1221,13.357,14.6232,14.9886,15.4772,15.2695,13.859,15.311,13.8344,13.8764,13.5861,13.3016,14.6736,14.469,13.6634,13.1782,14.7348,15.1232,13.972,15.5888
YAT,Jun,18.9843,18.831,18.3715,19.2288,18.1224,18.1774,19.3615,19.3037,18.8617,18.8749,18.5434,18.3187,18.6799,19.6267,18.7406,19.5951,18.1016,18.2675,19.1719,17.5008,19.2912
YAT,Jul,22.69,21.2124,22.5352,22.5696,22.945,21.8792,23.2148,22.7353,23.2563,22.1775,23.2867,22.3558,22.5048,22.4827,22.6435,23.4274,21.9216,21.649,23.034,23.5901,24.1514
YAT,Aug,23.4722,22.6517,22.4771,23.6137,22.2911,22.9191,23.4514,22.6318,23.5285,23.3984,22.7842,22.7687,24.0508,22.7643,23.5296,23.6017,22.6454,22.1791,23.376,23.6023,24.4766
YAT,Sep,20.5013,21.5833,18.8509,20.0358,18.9613,19.8889,20.376,20.8809,18.9603,21.4695,20.6818,19.1454,20.6197,19.718,19.1281,19.2776,18.7954,18.5837,20.9912,18.9498,20.6441
YAT,Oct,15.6786,14.0541,14.9982,14.2605,12.0702,11.5017,13.4434,14.8144,14.3167,14.8401,14.4017,12.913,14.459,14.0453,12.2694,14.9629,13.9865,12.1433,17.3896,15.0664,13.0353
YAT,Nov,7.57595,7.45054,9.10548,5.98287,4.83429,11.2703,8.31591,7.44532,9.18705,7.38175,7.53314,8.32701,6.31023,10.325,6.3161,6.89718,8.35902,11.5574,8.839,7.08732,7.75692
YAT,Dec,3.12527,1.34483,3.13451,2.32196,3.59597,2.08699,4.07233,-0.694383,3.56934,3.85358,2.14203,2.75148,2.95281,1.90769,1.22126,1.24467,1.06576,4.3871,4.31503,0.692051,4.86097
SAG,Jan,2.692,1.94274,3.23941,1.89889,3.59815,1.20362,0.690511,1.57941,1.97426,2.55772,3.14017,1.53814,1.76546,-0.631032,1.63082,1.17632,1.90838,3.03482,2.95837,2.38222,1.03136
SAG,Feb,5.05838,1.96336,0.796497,3.16725,2.84878,3.53775,2.86296,1.72285,3.29912,4.52052,1.06347,4.93338,4.71209,2.97323,1.99129,2.87942,3.33203,2.89747,2.94225,2.60988,1.00257
SAG,Mar,5.42601,7.06129,4.89029,5.94149,7.10833,4.90378,5.52004,4.34456,4.997,5.94662,5.41679,6.41197,6.59866,3.44249,6.25861,7.12691,6.67236,6.02576,6.37132,5.25431,6.78518
SAG,Apr,13.5078,10.4232,9.38238,9.79416,11.9431,11.783,10.0134,10.3739,9.54561,9.33156,9.87111,9.78783,9.32778,8.82334,10.6459,9.00185,10.0755,11.9262,12.2408,11.6068,11.8321
SAG,May,16.8509,13.9232,14.0419,15.4186,15.46,15.627,15.6048,14.0306,15.2618,14.8114,14.4214,14.4457,14.0559,15.3506,15.3979,14.5902,14.4722,15.6034,15.7138,15.4198,16.1535
SAG,Jun,19.5678,19.2005,18.9353,20.0993,19.1207,18.9021,19.6966,20.0387,19.4721,19.808,18.9145,19.0667,19.602,20.2619,19.5045,20.4949,19.2179,19.229,20.1483,18.5546,19.6454
SAG,Jul,23.8539,21.7752,23.8267,23.7062,23.966,22.1895,24.2789,23.6506,23.8659,22.5686,24.4031,23.276,23.5955,23.7532,23.8774,25.0403,23.1352,22.648,24.1484,25.1368,24.7272
SAG,Aug,24.8174,23.5975,23.9707,24.6182,23.4523,23.4308,24.2958,23.6216,24.6875,24.586,23.6274,23.5457,25.4659,24.0111,24.7441,25.1586,23.5567,23.1913,24.6036,24.9437,25.4187
SAG,Sep,21.39,22.5444,19.9028,20.4696,19.7864,20.7421,20.9124,21.8145,19.5129,22.4472,21.419,19.8168,21.5445,20.746,20.2567,20.3994,19.9807,19.292,21.776,20.0338,20.9948
SAG,Oct,16.4045,14.409,15.6588,15.0511,13.3079,12.6191,14.3756,15.607,15.4162,15.7331,15.252,14.1612,15.4873,14.983,13.8326,16.2014,14.9785,13.233,17.8171,16.2798,14.0487
SAG,Nov,9.01178,8.98435,9.94048,7.57317,6.10101,11.7168,9.35018,8.799,10.3873,8.43616,8.6336,9.28234,7.53807,11.4017,7.85872,8.49518,9.80728,12.1115,9.65625,8.41651,8.73596
