POP,MONTH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NVA,Apr,8.64285,9.10158,8.15228,7.57133,9.02645,8.32279,8.25868,7.41986,8.65554,7.05319,8.89732,7.85733,8.34176,9.71585,7.23979,8.1979,7.88531,7.98665,7.14411,11.0769,4.6509
NVA,May,15.0185,12.0487,14.4192,11.9298,11.8734,13.7703,16.1838,10.9979,10.7478,12.0233,11.5164,14.1169,15.3715,13.3653,14.9232,12.0017,14.1508,13.8382,12.7522,13.0023,16.1966
NVA,Jun,19.96,17.1897,19.0459,18.5299,17.2854,17.3521,18.7981,17.9612,17.1922,17.8764,19.2205,18.4802,20.9332,18.6258,15.6073,18.517,18.1209,19.0999,17.037,16.6991,18.3432
NVA,Jul,20.9335,21.1909,19.6331,18.0721,20.4903,20.5577,20.4696,21.773,20.2057,18.9396,19.9541,19.2155,21.0435,20.7584,21.5662,21.376,19.7625,20.2753,21.0107,20.3413,18.8646
NVA,Aug,19.6709,19.9598,19.0412,19.2796,18.7037,20.7493,18.4541,20.5538,20.4141,21.1346,19.0469,20.8443,20.8708,19.5232,19.5547,18.6159,18.9106,18.0847,20.7608,18.6072,19.1594
NVA,Sep,16.6825,15.1506,15.8757,13.2545,16.9797,15.192,16.5382,17.4299,15.0041,15.7433,17.0832,15.3504,16.846,16.8679,14.5795,14.3966,17.1108,16.6727,18.0716,14.6403,19.0786
NVA,Oct,8.17896,8.10503,7.08582,5.86572,11.3194,8.15792,10.2187,10.4206,8.08207,12.0258,7.43184,9.06362,9.04339,7.14479,8.65565,10.3739,9.39949,8.14146,9.94316,9.35122,9.40986
NVA,Nov,3.92684,5.31007,1.33707,4.49535,2.77814,5.88627,4.52489,3.45336,3.88707,3.13572,2.77958,5.52712,2.81703,4.06664,-0.0225784,1.6369,0.573989,5.86323,2.38328,1.49037,2.285
NVA,Dec,2.64632,0.185461,-4.92778,1.18622,-1.37581,-1.69083,-0.940442,-2.09001,1.34816,2.83299,1.06286,-1.38541,-4.68421,1.00924,2.14567,0.751192,0.329733,6.33573,-0.598891,-1.53445,0.323312
NEW,Jan,0.155589,-4.30116,-5.35759,-4.6345,-1.00012,-6.43849,-8.13367,-5.18745,-0.955148,-1.69442,-2.65483,-7.4524,-4.7622,-7.05133,-2.70824,-3.16987,-8.05869,-6.59746,-4.72795,-0.856735,-6.21807
NEW,Feb,0.401212,-1.74862,-2.10804,-3.19792,-1.49963,-5.82429,-3.70819,-3.02268,-3.32846,-6.74556,-2.81839,-3.6156,-3.0251,-4.59656,-0.909607,-3.46535,-6.50122,-11.1529,-2.96583,-0.854038,-0.446666
NEW,Mar,2.14588,0.456501,2.7346,-0.149164,1.14269,-0.117194,1.70026,-1.21373,0.844932,-0.918688,0.691428,-0.0761786,3.36748,0.476819,4.45585,0.0502985,-2.76863,-2.52992,2.82531,-1.2933,-0.208972
NEW,Apr,6.48688,5.66531,5.3852,5.76929,6.91671,4.55671,6.44421,6.05257,6.291,4.61342,6.10828,6.06294,6.95886,6.8574,5.87324,5.42582,4.68613,5.60617,4.81235,8.2199,3.72389
NEW,May,12.3441,11.2853,11.8601,11.8746,9.83763,9.92412,13.2721,9.21596,11.5035,11.4645,8.9796,11.1613,12.1174,12.7092,13.6354,10.8435,11.9903,12.9388,10.9927,11.112,13.4683
NEW,Jun,15.8866,17.0924,16.4922,17.5538,16.2466,15.6144,16.2727,18.2067,17.1334,16.3506,17.139,15.4518,17.2586,16.7575,15.9171,17.1235,16.5977,16.7099,15.7169,16.5801,16.2031
NEW,Jul,19.2947,20.9516,17.5239,17.1552,20.2028,19.5432,18.8643,20.7819,20.5485,18.5355,19.5312,17.3548,20.2552,20.375,20.2199,21.7529,19.1083,19.8938,20.1334,19.6638,19.9872
NEW,Aug,19.116,18.791,18.1633,20.0719,19.3332,20.0608,18.4807,20.9717,18.8672,18.2717,16.116,19.3611,18.5357,18.5423,18.3173,17.9238,17.0248,18.5615,20.0949,17.8256,21.0524
NEW,Sep,15.1666,15.6325,13.5759,13.2394,14.9195,15.5035,15.6201,15.8498,13.6373,14.6829,14.8908,13.1589,14.729,16.41,14.1838,12.4844,14.4308,15.73,15.3273,15.6468,17.4612
NEW,Oct,8.90704,6.89725,7.53485,7.36228,7.88545,6.8191,8.19898,9.63641,7.35684,11.82,5.94707,7.25958,8.01657,7.99201,9.41227,8.90156,9.56354,7.22296,8.23967,11.4961,9.11918
