"","pop","year","gdd400","latitude","country","only_2008","interval","Estimate","CPP_YEAR"
"77","NIG",2017,256,37.91,"JP","n","y2008-2017",13.8496617799907,"2018"
"78","SEN",2017,252,38.29,"JP","n","y2008-2017",14.0145864430433,"2018"
"79","TAN",2017,302,30.72,"JP","y","y2008-2017",12.6477931369594,"2008"
"80","SHI",2017,268,34.02,"JP","y","y2008-2017",13.1224219644301,"2008"
"81","HIR",2017,271,34.38,"JP","y","y2008-2017",13.1088874236273,"2008"
"82","TOK",2017,269,35.63,"JP","y","y2008-2017",13.2599462255156,"2008"
"83","UTS",2017,247,36.53,"JP","y","y2008-2017",13.5887057611562,"2008"
"84","KHO",2017,251,37.37,"JP","y","y2008-2017",13.3905340286713,"2008"
"85","AIZ",2017,240,37.47,"JP","y","y2008-2017",13.8055534251455,"2008"
"86","SAK",2017,252,38.92,"JP","y","y2008-2017",13.6644933129919,"2008"
