pop,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
OKI,329,325,329,325,324,325,329,320,327,327,325,324,323,325,324,320,323,327,330,324,330
KAG,287,282,291,282,275,286,288,280,288,285,283,280,282,288,277,280,283,291,291,279,281
YAT,277,272,278,271,264,275,277,273,277,276,273,271,271,276,264,271,271,279,281,270,273
SAG,279,274,280,273,268,278,280,275,280,278,277,274,274,281,270,275,275,281,281,274,275
YAM,274,269,270,265,262,269,272,269,271,271,269,268,267,271,262,268,267,269,274,264,267
KYO,273,271,272,267,263,269,274,269,272,270,270,269,271,272,267,272,271,273,273,265,273
TAK,271,269,269,264,261,265,272,267,270,268,267,267,269,270,266,270,269,270,271,263,271
KAN,261,260,258,253,251,255,263,259,259,259,256,256,257,258,258,261,257,257,261,253,259
NIG,264,262,259,257,252,257,265,260,259,260,260,259,260,259,261,262,256,257,260,256,261
SEN,259,256,255,251,248,251,257,255,252,257,255,253,255,255,258,257,251,254,256,252,257
TAN,312,306,312,305,301,310,314,300,312,308,308,306,305,307,300,301,303,314,315,302,311
SHI,274,271,273,268,261,271,274,273,275,273,271,270,270,277,267,270,269,272,277,268,271
HIR,282,278,280,274,270,277,280,274,280,279,278,275,277,281,272,276,275,279,280,271,277
TOK,278,277,274,273,270,275,278,273,279,276,279,275,277,279,274,278,275,278,276,269,279
UTS,255,254,251,249,243,248,253,250,249,251,250,247,250,253,253,252,246,248,253,247,252
KHO,258,256,254,252,246,251,257,254,252,256,254,251,254,255,257,256,251,254,256,251,257
AIZ,249,249,245,243,240,243,247,245,243,248,245,240,245,246,251,247,240,242,248,240,247
SAK,260,257,256,253,250,254,262,256,253,257,256,254,257,257,259,258,251,253,256,252,257
