POP,MONTH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
SAG,May,25.0523,23.9838,23.6569,24.0146,23.4531,24.338,23.5058,24.4667,22.7783,24.1739,24.1549,24.1557,23.2352,23.2321,24.3788,25.1166,24.891,24.7962,25.2379,25.1807,24.3293
SAG,Jun,25.8288,26.255,26.3027,26.7951,27.5416,26.1544,28.2785,29.0758,27.224,27.1973,25.0914,26.984,26.9477,26.1339,26.0917,26.7777,25.6958,25.0168,26.3452,27.1109,27.1074
SAG,Jul,29.8621,27.9859,31.3127,30.9446,30.927,28.0571,31.471,30.1651,29.8951,29.0647,32.2955,29.0914,30.0829,30.7765,30.3839,31.6267,29.5324,29.0613,31.3577,31.7172,32.332
SAG,Aug,31.3919,30.2474,31.6122,31.5775,30.5349,30.4845,31.8669,31.3799,32.6083,32.5513,31.1056,31.4394,33.3203,31.4583,32.436,32.7613,28.7465,30.5777,33.4512,32.2231,33.7431
SAG,Sep,28.9828,28.6437,27.6282,27.7875,28.4778,29.2223,27.8022,29.212,27.2025,30.8855,28.1616,28.4059,29.0744,28.5012,27.5879,28.5995,27.5457,26.8108,28.0655,26.8311,27.3398
SAG,Oct,23.4859,23.5461,22.6181,23.0306,22.0062,22.8979,22.3343,24.1018,25.0024,24.7333,23.7058,23.182,22.7444,22.4362,22.7319,23.8645,23.2524,23.1052,24.3557,22.4715,22.1335
SAG,Nov,17.3262,16.509,17.7024,16.4266,14.0908,18.7379,18.6116,17.6671,17.7025,17.2029,16.1356,16.0966,16.4122,19.0887,15.1929,15.9689,17.6405,18.8773,17.2515,16.2457,17.8806
SAG,Dec,13.1112,10.8426,12.4257,10.6139,11.1963,11.3075,13.572,7.58065,11.8462,11.8382,11.4512,10.8783,10.8287,10.4704,9.11713,10.0017,9.32935,12.4521,12.8362,9.33885,11.8139
YAM,Jan,6.83263,8.30447,8.36792,6.69017,8.52666,6.66155,7.29258,6.88716,8.071,8.79762,8.19713,7.15551,7.7869,4.73385,6.78403,7.09999,8.38183,8.14183,7.48108,8.14207,6.14677
YAM,Feb,10.3385,8.42276,7.08774,8.74437,9.87408,9.10183,10.6597,6.90748,8.36581,11.4502,7.32927,11.1973,10.1133,9.78673,6.28699,8.48433,8.45827,8.52005,9.05349,9.36562,7.51952
YAM,Mar,12.9171,12.5898,12.0921,12.3109,14.1854,11.4461,12.7348,11.0847,11.2226,12.9597,12.722,13.0809,11.384,10.5124,11.2634,14.1649,13.1763,12.7642,13.6597,11.9802,14.3224
YAM,Apr,19.466,16.8423,17.184,18.3332,18.5727,17.5805,19.6913,19.5698,16.3085,17.252,17.7425,18.5292,15.7198,17.1389,18.5779,16.6262,17.8278,18.4534,19.2864,18.7406,19.744
YAM,May,23.066,22.7366,22.316,22.4822,21.5129,22.1006,22.2341,22.1943,21.2174,22.7084,22.2125,22.7061,21.3511,21.8922,22.4309,22.9581,23.2791,23.5271,23.2032,24.0131,22.5103
YAM,Jun,24.0863,24.5727,24.9991,25.1402,25.9827,24.4231,26.0749,26.946,25.4996,25.1562,23.9085,25.7193,25.4107,25.5447,24.5881,25.5196,24.8386,24.2624,25.0702,25.4837,25.2928
YAM,Jul,28.8989,26.7929,30.0451,30.0054,29.7811,26.32,30.8959,28.6641,28.1071,26.9649,30.9556,27.4211,29.3018,29.3767,29.3531,30.8494,28.8067,27.8192,29.9239,30.8841,31.0503
YAM,Aug,30.4292,28.927,30.9734,30.0668,30.2698,28.71,30.2182,30.448,31.2037,30.9153,30.1137,29.4437,32.4222,30.2463,31.2744,31.649,27.9643,29.3916,31.5979,31.3498,32.7212
YAM,Sep,27.3885,27.6446,26.345,25.654,27.2209,27.3919,26.3262,27.5489,25.5102,28.9322,26.7702,26.6733,28.5006,26.7665,27.1118,26.8786,26.13,25.1535,26.4408,25.5671,25.487
YAM,Oct,21.9638,22.0333,21.3116,21.2634,20.9361,21.2367,20.7629,22.1139,23.0455,22.8333,22.374,21.8166,21.4121,21.0967,21.4369,22.1135,21.4406,21.4941,22.3758,20.3476,21.173
YAM,Nov,16.2186,15.4049,16.4419,15.1008,13.5044,17.3803,17.5588,16.2809,16.2421,15.927,15.2473,15.3019,15.2258,17.5642,13.9866,14.7637,16.3107,17.0082,15.9429,14.949,16.5837
YAM,Dec,12.4782,10.0297,11.4608,9.76019,9.95201,10.4276,12.2986,6.42502,10.2711,10.8946,10.9993,9.84606,9.75333,9.44077,7.71298,8.9439,7.7752,11.3595,11.389,8.20843,10.3158
KYO,Jan,7.29938,7.35208,8.10828,6.08423,8.10447,6.45977,7.03336,7.36158,6.41045,9.03927,7.15408,7.76775,7.57071,5.39585,6.48623,6.59558,7.31241,6.80856,8.51665,7.61801,6.58013
KYO,Feb,9.93317,7.34157,5.80658,8.26849,9.08707,8.40641,10.3898,7.17965,8.01373,10.7987,6.40449,9.53336,9.55346,9.93891,6.09191,7.0535,7.53447,8.28346,9.73034,7.79491,7.47899
KYO,Mar,13.2095,12.4488,10.8977,12.1114,14.6523,10.8732,12.7807,11.3197,10.9384,12.5,13.3256,12.526,11.2092,10.5953,10.9284,14.2132,12.41,13.0348,13.7304,11.7914,14.8733
KYO,Apr,20.556,17.1259,17.3929,19.1639,20.0026,18.0423,20.4201,19.7849,15.9572,17.6903,18.1555,18.7966,15.7963,17.5149,18.2655,17.7075,18.8603,19.001,19.7725,18.9904,20.6498
KYO,May,23.9936,23.5813,24.0256,23.8557,22.358,23.2178,23.8179,22.5067,22.1386,23.1173,23.3804,23.0094,22.0755,22.4476,22.584,23.5959,24.1773,25.7748,24.9575,25.2203,23.4996
KYO,Jun,24.9908,25.873,26.0336,26.7206,26.7881,25.7823,27.8179,28.2148,26.5534,26.4092,25.3836,27.2706,27.2617,27.3255,25.6494,27.371,27.6445,25.9741,26.507,26.2229,26.772
KYO,Jul,30.0831,29.1832,32.1424,32.7119,31.9071,26.626,32.4784,29.7806,29.156,27.7656,32.55,29.6782,30.9857,31.4153,31.0963,31.9883,31.0826,30.23,31.156,31.9544,33.442
KYO,Aug,31.5771,31.4087,33.7687,30.8535,32.0521,30.8966,31.4622,32.1041,33.4655,33.2104,31.7898,30.4631,34.196,32.4338,33.4878,33.5676,30.6835,31.9,32.9752,31.9811,33.503
KYO,Sep,27.7601,29.277,28.3293,25.2152,27.6326,28.4596,28.5033,28.928,26.9004,29.6758,27.141,27.0702,29.6378,28.3259,29.601,28.0767,27.1929,25.7354,28.058,26.9421,26.0368
KYO,Oct,22.5606,22.1208,21.7142,21.9788,21.7231,20.8282,21.1611,22.098,22.8297,22.4545,22.2933,21.9403,22.1563,22.1491,22.1028,22.8777,22.1189,22.2063,22.7116,20.2853,22.2416
KYO,Nov,15.5985,15.9604,16.4045,15.5605,13.2042,17.0892,17.5795,15.9167,16.661,15.689,15.6082,15.9436,15.5941,17.0312,14.1959,15.1746,16.5298,16.9449,15.4101,14.8121,16.8962
KYO,Dec,11.257,9.87539,10.3342,9.52304,9.53743,10.1837,11.9785,6.3885,10.3,10.7787,11.3272,10.2555,10.6506,9.25503,7.77938,9.19077,7.80813,11.8584,10.9678,8.5522,10.7436
TAK,Jan,6.68665,6.52792,7.48365,5.41707,7.18476,5.70399,6.36128,6.68294,5.5397,8.15846,6.55219,7.01398,6.56742,4.69187,5.92806,6.10796,6.81248,6.39621,7.94648,6.97231,6.0194
TAK,Feb,8.88918,6.27706,4.957,7.46141,8.08026,7.86359,9.07627,6.6525,7.1164,9.84293,5.61739,8.73507,8.48841,8.87425,5.53452,6.26335,7.16045,7.68399,9.11935,6.93458,6.78114
TAK,Mar,12.276,11.4307,9.83122,10.8285,13.4779,10.0196,11.7175,10.4122,9.82025,11.6493,12.316,11.7607,10.3922,9.62096,10.1603,12.9966,11.21,12.179,12.8201,10.8925,13.7685
TAK,Apr,19.5982,16.1511,16.3822,18.1457,18.761,16.8103,19.3102,18.6529,15.021,16.8918,17.4438,17.9736,15.1401,16.666,17.0943,16.968,17.7483,18.059,18.4852,18.0381,19.6067
TAK,May,22.9541,22.2995,22.7678,23.0628,21.2659,22.3003,22.8337,21.4386,21.2428,22.0184,22.492,22.3003,21.4669,21.6197,21.823,22.6524,23.0376,24.6763,23.6895,24.1773,22.5709
TAK,Jun,24.1623,24.9774,25.039,26.0099,25.93,24.7976,27.0263,27.1044,25.6125,25.6464,24.7224,26.3375,26.4332,26.7625,24.7263,26.475,27.0563,25.1202,25.793,25.2403,26.1079
TAK,Jul,29.2886,28.6048,31.6083,31.9109,31.1209,25.9316,31.693,29.0922,28.496,27.0909,31.4831,29.3385,30.1972,30.9202,30.1207,31.0723,30.4207,29.441,30.0613,31.1564,32.6659
TAK,Aug,31.026,30.6297,32.9482,30.5474,31.7228,30.1241,30.7045,31.2952,32.21,32.2538,31.1764,29.8022,33.142,31.9595,32.6347,32.6916,30.2236,31.1783,32.4379,31.2222,32.9794
